lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,1.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.47430854876959716,170.0,41.0,35.0,38.0,39.0,40.0,41.0,43.0,43.0,False,True,True,True,True,True,True,True,True
0.01,0.01,50.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.41454871725324627,65.0,49.0,43.0,43.0,42.0,41.0,43.0,41.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,5.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6217155904443775,110.0,68.0,49.0,41.0,34.0,32.0,32.0,36.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4808785456689954,137.0,47.0,36.0,35.0,39.0,40.0,40.0,43.0,43.0,False,True,True,True,True,True,True,True,True
0.01,0.01,100.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.42789065933000764,58.0,42.0,45.0,42.0,42.0,41.0,39.0,41.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.25585614882859975,285.0,98.0,40.0,42.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5873042134358324,85.0,51.0,41.0,37.0,37.0,36.0,34.0,36.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.01,5.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6123603716066794,110.0,66.0,51.0,43.0,33.0,34.0,31.0,36.0,35.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.2232474713139312,272.0,78.0,40.0,41.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,5.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6454305169731352,102.0,58.0,47.0,38.0,36.0,31.0,31.0,33.0,40.0,False,False,False,True,True,True,True,True,True
