lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,100.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5656286274314615,48.0,39.0,35.0,34.0,37.0,36.0,37.0,40.0,44.0,False,False,False,False,False,False,False,True,True
0.01,0.01,100.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5469626928626558,46.0,42.0,35.0,35.0,36.0,37.0,39.0,43.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,1.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5595151522721716,311.0,285.0,267.0,243.0,225.0,203.0,181.0,149.0,103.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.3853545283458386,328.0,318.0,311.0,301.0,291.0,275.0,256.0,226.0,194.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5889598385319584,316.0,293.0,277.0,263.0,248.0,222.0,199.0,162.0,117.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5054721254598344,327.0,316.0,309.0,298.0,291.0,280.0,265.0,245.0,217.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6932229482750476,81.0,61.0,47.0,42.0,34.0,29.0,26.0,30.0,31.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6562749357238092,77.0,55.0,46.0,37.0,32.0,31.0,28.0,28.0,36.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5410231214112037,310.0,293.0,274.0,261.0,243.0,224.0,205.0,175.0,124.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.41980440773539374,325.0,316.0,306.0,299.0,292.0,279.0,264.0,243.0,207.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6759727792505377,85.0,63.0,46.0,41.0,33.0,26.0,26.0,26.0,37.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5013483056678867,325.0,318.0,309.0,302.0,293.0,286.0,268.0,248.0,221.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.44990221698595456,325.0,313.0,308.0,297.0,286.0,280.0,261.0,242.0,209.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6089509841598967,51.0,43.0,35.0,34.0,31.0,34.0,35.0,38.0,43.0,False,False,False,False,False,False,False,False,True
