lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,0.1,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.3940633139102134,216.0,48.0,43.0,41.0,43.0,43.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6457872352488546,73.0,49.0,38.0,37.0,36.0,34.0,33.0,31.0,36.0,False,False,False,False,True,True,True,True,True
0.01,0.01,5.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.649365906046129,92.0,57.0,50.0,40.0,38.0,36.0,33.0,32.0,34.0,False,False,False,False,True,True,True,True,True
0.01,0.01,50.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5735797321830837,46.0,42.0,38.0,36.0,38.0,38.0,38.0,43.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,10.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.62847578454717,68.0,51.0,40.0,37.0,34.0,35.0,34.0,35.0,39.0,False,False,False,False,True,True,True,True,True
0.01,0.01,100.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.477896830666354,47.0,44.0,43.0,39.0,38.0,43.0,45.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.39372672530389174,241.0,41.0,39.0,44.0,44.0,43.0,44.0,44.0,44.0,False,True,True,True,True,True,True,True,True
0.01,0.01,100.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.46600595133407463,45.0,48.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4823254409855214,47.0,44.0,45.0,37.0,38.0,43.0,43.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6094617199634554,75.0,49.0,39.0,37.0,38.0,35.0,33.0,35.0,42.0,False,False,False,False,True,True,True,True,True
