lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,10.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6360688187742228,80.0,52.0,41.0,31.0,32.0,25.0,29.0,32.0,38.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6689255618922549,84.0,57.0,47.0,40.0,36.0,30.0,27.0,30.0,35.0,False,False,False,False,False,False,False,False,True
0.01,0.01,0.1,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.46217098632287423,333.0,333.0,332.0,329.0,326.0,323.0,323.0,321.0,314.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5641784057684569,179.0,110.0,78.0,65.0,59.0,46.0,40.0,34.0,32.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6415648836256368,154.0,102.0,81.0,65.0,58.0,46.0,35.0,28.0,24.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5225434332039139,44.0,42.0,42.0,40.0,38.0,36.0,39.0,42.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,10.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.627746384766779,96.0,58.0,42.0,38.0,32.0,28.0,29.0,30.0,35.0,False,False,False,False,False,False,False,False,True
0.01,0.01,50.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5926771448391026,55.0,48.0,40.0,34.0,35.0,31.0,33.0,37.0,41.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5762124188186377,51.0,45.0,42.0,35.0,32.0,36.0,37.0,41.0,42.0,False,False,False,False,False,False,False,True,True
0.01,0.01,5.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.647170406898547,133.0,94.0,78.0,57.0,49.0,44.0,38.0,36.0,31.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5547501397026182,52.0,40.0,37.0,33.0,35.0,38.0,41.0,44.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,10.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6639151609244022,72.0,53.0,42.0,37.0,34.0,30.0,27.0,28.0,32.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6225483702102954,84.0,59.0,39.0,35.0,30.0,26.0,26.0,31.0,39.0,False,False,False,False,False,False,False,False,True
0.01,0.01,50.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5353101541142095,57.0,42.0,36.0,35.0,35.0,33.0,36.0,38.0,44.0,False,False,False,False,False,False,False,False,True
0.01,0.01,0.5,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5174908881451057,325.0,314.0,306.0,300.0,288.0,275.0,262.0,247.0,210.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.45407418984798015,332.0,331.0,330.0,330.0,327.0,325.0,322.0,322.0,300.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6503253717320373,94.0,62.0,48.0,37.0,34.0,28.0,28.0,26.0,35.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5460026241034432,304.0,287.0,273.0,248.0,227.0,212.0,179.0,153.0,115.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6683094470820172,150.0,98.0,74.0,58.0,51.0,46.0,37.0,30.0,24.0,False,False,False,False,False,False,False,False,False
0.01,0.01,50.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.562130026794697,53.0,46.0,42.0,38.0,35.0,33.0,32.0,36.0,41.0,False,False,False,False,False,False,False,False,True
0.01,0.01,50.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5649963345688932,62.0,48.0,42.0,35.0,33.0,35.0,34.0,38.0,39.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.4600986809933718,334.0,332.0,331.0,328.0,327.0,323.0,323.0,319.0,308.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5727516842043288,47.0,38.0,37.0,35.0,36.0,38.0,40.0,39.0,43.0,False,False,False,False,False,False,False,True,True
0.01,0.01,1.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5790050055278398,310.0,293.0,272.0,256.0,246.0,222.0,193.0,166.0,122.0,False,False,False,False,False,False,False,False,False
